Transcription-Units	Genes of transcription unit
TU220F-237	SYNPCC7002_RS01130
TU220F-1719	SYNPCC7002_RS12430
TU220F-744	SYNPCC7002_RS04975 // SYNPCC7002_RS16090
TU220F-942	SYNPCC7002_RS06490
TU220F-1910	SYNPCC7002_RS13770
TU220F-230	SYNPCC7002_RS01090
TU220F-219	SYNPCC7002_RS01015 // SYNPCC7002_RS01010 // SYNPCC7002_RS01005 // SYNPCC7002_RS01000 // SYNPCC7002_RS00995
TU220F-796	SYNPCC7002_RS05410 // SYNPCC7002_RS05405
TU220F-1148	SYNPCC7002_RS08070
TU220F-718	SYNPCC7002_RS04755
TU220F-1045	SYNPCC7002_RS07270 // SYNPCC7002_RS07265 // SYNPCC7002_RS07260
TU220F-1598	SYNPCC7002_RS11515
TU220F-2192	SYNPCC7002_RS12385
TU220F-1193	SYNPCC7002_RS08395
TU220F-1385	SYNPCC7002_RS09895
TU220F-411	SYNPCC7002_RS02530 // SYNPCC7002_RS02525
TU220F-834	SYNPCC7002_RS05650 // SYNPCC7002_RS05645
TU220F-1434	SYNPCC7002_RS10260
TU220F-2281	SYNPCC7002_RS09255
TU220F-519	SYNPCC7002_RS03240
TU220F-2200	SYNPCC7002_RS12170
TU220F-2133	SYNPCC7002_RS15280
TU220F-563	SYNPCC7002_RS03595
TU220F-2493	SYNPCC7002_RS02155
TU220F-2188	SYNPCC7002_RS16485
TU220F-2030	SYNPCC7002_RS15640 // SYNPCC7002_RS15635
TU220F-1633	SYNPCC7002_RS11835
TU220F-1802	SYNPCC7002_RS13005
TU220F-635	SYNPCC7002_RS04130
TU220F-1555	SYNPCC7002_RS11170
TU220F-2408	SYNPCC7002_RS05080
TU220F-387	SYNPCC7002_RS02330
TU220F-1945	SYNPCC7002_RS14000
TU220F-1526	SYNPCC7002_RS10965
TU220F-1666	SYNPCC7002_RS12065
TU220F-2004	SYNPCC7002_RS16850
TU220F-936	SYNPCC7002_RS06455
TU220F-1175	SYNPCC7002_RS08285
TU220F-2506	SYNPCC7002_RS01655
TU220F-2026	SYNPCC7002_RS15615
TU220F-729	SYNPCC7002_RS04845
TU220F-2265	SYNPCC7002_RS09860
TU220F-337	SYNPCC7002_RS01900 // SYNPCC7002_RS01895
TU220F-1976	SYNPCC7002_RS14185
TU220F-1276	SYNPCC7002_RS09055 // SYNPCC7002_RS09050
TU220F-2054	SYNPCC7002_RS15835
TU220F-1358	SYNPCC7002_RS09705
TU220F-1227	SYNPCC7002_RS08675
TU220F-774	SYNPCC7002_RS05210
TU220F-2466	SYNPCC7002_RS02830
TU220F-1989	SYNPCC7002_RS16840
TU220F-2072	SYNPCC7002_RS15970
TU220F-1540	SYNPCC7002_RS11040
TU220F-2227	SYNPCC7002_RS11135
TU220F-908	SYNPCC7002_RS06235
TU220F-2487	SYNPCC7002_RS02215
TU220F-2317	SYNPCC7002_RS07885
TU220F-961	SYNPCC7002_RS06600
TU220F-1738	SYNPCC7002_RS12575
TU220F-811	SYNPCC7002_RS05495
TU220F-943	SYNPCC7002_RS16105
TU220F-423	SYNPCC7002_RS02620
TU220F-111	SYNPCC7002_RS00205
TU220F-2124	SYNPCC7002_RS15755
TU220F-2331	SYNPCC7002_RS07405
TU220F-1575	SYNPCC7002_RS11335 // SYNPCC7002_RS11330
TU220F-1326	SYNPCC7002_RS09480
TU220F-873	SYNPCC7002_RS05950
TU220F-545	SYNPCC7002_RS03455
TU220F-1125	SYNPCC7002_RS07925
TU220F-1261	SYNPCC7002_RS08960
TU220F-2084	SYNPCC7002_RS14485 // SYNPCC7002_RS14480
TU220F-1342	SYNPCC7002_RS09595
TU220F-2476	SYNPCC7002_RS02430
TU220F-974	SYNPCC7002_RS06715
TU220F-1211	SYNPCC7002_RS08530 // SYNPCC7002_RS08525
TU220F-2358	SYNPCC7002_RS06665
TU220F-179	SYNPCC7002_RS00710 // SYNPCC7002_RS00705
TU220F-280	SYNPCC7002_RS01450 // SYNPCC7002_RS01445 // SYNPCC7002_RS01440
TU220F-1037	SYNPCC7002_RS07180
TU220F-212	SYNPCC7002_RS00940
TU220F-667	SYNPCC7002_RS04370
TU220F-950	SYNPCC7002_RS06535 // SYNPCC7002_RS06530
TU220F-1256	SYNPCC7002_RS08925
TU220F-2416	SYNPCC7002_RS04870
TU220F-2089	SYNPCC7002_RS14520
TU220F-140	SYNPCC7002_RS00390
TU220F-405	SYNPCC7002_RS02470 // SYNPCC7002_RS02465 // SYNPCC7002_RS02460
TU220F-1462	SYNPCC7002_RS10470 // SYNPCC7002_RS10465
TU220F-418	SYNPCC7002_RS02590 // SYNPCC7002_RS02585
TU220F-2010	SYNPCC7002_RS15510 // SYNPCC7002_RS15505 // SYNPCC7002_RS15500
TU220F-1229	SYNPCC7002_RS08690 // SYNPCC7002_RS08685
TU220F-1401	SYNPCC7002_RS10000
TU220F-1642	SYNPCC7002_RS11895
TU220F-1870	SYNPCC7002_RS13480
TU220F-964	SYNPCC7002_RS06620
TU220F-1711	SYNPCC7002_RS12350
TU220F-1973	SYNPCC7002_RS14170
TU220F-1835	SYNPCC7002_RS13230 // SYNPCC7002_RS13225
TU220F-2178	SYNPCC7002_RS16490
TU220F-2241	SYNPCC7002_RS10690
TU220F-6	SYNPCC7002_RS16815
TU220F-1495	SYNPCC7002_RS10740
TU220F-2544	SYNPCC7002_RS00330
TU220F-2488	SYNPCC7002_RS02210
TU220F-1888	SYNPCC7002_RS13605
TU220F-326	SYNPCC7002_RS01835 // SYNPCC7002_RS01830
TU220F-2312	SYNPCC7002_RS08085
TU220F-1582	SYNPCC7002_RS11385
TU220F-2061	SYNPCC7002_RS15870
TU220F-1689	SYNPCC7002_RS12205
TU220F-162	SYNPCC7002_RS00565
TU220F-1854	SYNPCC7002_RS13380
TU220F-1701	SYNPCC7002_RS12280
TU220F-1742	SYNPCC7002_RS12605
TU220F-1384	SYNPCC7002_RS09890
TU220F-1880	SYNPCC7002_RS13545
TU220F-1593	SYNPCC7002_RS11490 // SYNPCC7002_RS11485
TU220F-2366	SYNPCC7002_RS06355
TU220F-1373	SYNPCC7002_RS09805 // SYNPCC7002_RS09800
TU220F-168	SYNPCC7002_RS00615
TU220F-2434	SYNPCC7002_RS04350
TU220F-1058	SYNPCC7002_RS07370
TU220F-1512	SYNPCC7002_RS10855
TU220F-1357	SYNPCC7002_RS09700
TU220F-1480	SYNPCC7002_RS10615
TU220F-617	SYNPCC7002_RS16395
TU220F-572	SYNPCC7002_RS03680
TU220F-1086	SYNPCC7002_RS07550
TU220F-1420	SYNPCC7002_RS10165 // SYNPCC7002_RS10160
TU220F-1897	SYNPCC7002_RS13675
TU220F-1657	SYNPCC7002_RS12000
TU220F-1311	SYNPCC7002_RS09355
TU220F-506	SYNPCC7002_RS03140
TU220F-355	SYNPCC7002_RS02050
TU220F-558	SYNPCC7002_RS03550
TU220F-2218	SYNPCC7002_RS11435
TU220F-1215	SYNPCC7002_RS08555 // SYNPCC7002_RS08550
TU220F-2067	SYNPCC7002_RS15900
TU220F-630	SYNPCC7002_RS04100
TU220F-301	SYNPCC7002_RS01595
TU220F-2290	SYNPCC7002_RS08790
TU220F-1715	SYNPCC7002_RS12410 // SYNPCC7002_RS12405 // SYNPCC7002_RS12400 // SYNPCC7002_RS12395
TU220F-1616	SYNPCC7002_RS11660
TU220F-2086	SYNPCC7002_RS14505
TU220F-286	SYNPCC7002_RS01485
TU220F-195	SYNPCC7002_RS00800
TU220F-945	SYNPCC7002_RS06505
TU220F-261	SYNPCC7002_RS01275
TU220F-624	SYNPCC7002_RS04065
TU220F-1194	SYNPCC7002_RS08400
TU220F-2171	SYNPCC7002_RS12820
TU220F-1610	SYNPCC7002_RS11620
TU220F-1520	SYNPCC7002_RS10915
TU220F-509	SYNPCC7002_RS03160
TU220F-702	SYNPCC7002_RS04635 // SYNPCC7002_RS04630
TU220F-585	SYNPCC7002_RS03770
TU220F-1117	SYNPCC7002_RS07875
TU220F-1287	SYNPCC7002_RS09165 // SYNPCC7002_RS09160
TU220F-1730	SYNPCC7002_RS12525
TU220F-1746	SYNPCC7002_RS12635
TU220F-2214	SYNPCC7002_RS11555
TU220F-887	SYNPCC7002_RS06080 // SYNPCC7002_RS06075
TU220F-1442	SYNPCC7002_RS10320 // SYNPCC7002_RS10315
TU220F-1637	SYNPCC7002_RS11865
TU220F-1995	SYNPCC7002_RS15360
TU220F-2450	SYNPCC7002_RS03825
TU220F-795	SYNPCC7002_RS16650
TU220F-2381	SYNPCC7002_RS06030
TU220F-362	SYNPCC7002_RS02110
TU220F-30	SYNPCC7002_RS16570
TU220F-266	SYNPCC7002_RS01320
TU220F-704	SYNPCC7002_RS04645
TU220F-348	SYNPCC7002_RS02000 // SYNPCC7002_RS01995
TU220F-455	SYNPCC7002_RS02815
TU220F-839	SYNPCC7002_RS05670
TU220F-1534	SYNPCC7002_RS11010
TU220F-1597	SYNPCC7002_RS11510
TU220F-2152	SYNPCC7002_RS13565
TU220F-743	SYNPCC7002_RS04965
TU220F-254	SYNPCC7002_RS01230
TU220F-1383	SYNPCC7002_RS09885 // SYNPCC7002_RS09880
TU220F-41	SYNPCC7002_RS15020
TU220F-523	SYNPCC7002_RS03270
TU220F-199	SYNPCC7002_RS00855
TU220F-2280	SYNPCC7002_RS09260
TU220F-639	SYNPCC7002_RS04185
TU220F-534	SYNPCC7002_RS03380
TU220F-431	SYNPCC7002_RS02670
TU220F-807	SYNPCC7002_RS05470
TU220F-854	SYNPCC7002_RS05805 // SYNPCC7002_RS05800 // SYNPCC7002_RS05795
TU220F-1011	SYNPCC7002_RS06975
TU220F-2099	SYNPCC7002_RS14575
TU220F-2492	SYNPCC7002_RS16615
TU220F-1301	SYNPCC7002_RS09275 // SYNPCC7002_RS09270
TU220F-1673	SYNPCC7002_RS12105
TU220F-1112	SYNPCC7002_RS07850
TU220F-1915	SYNPCC7002_RS13825
TU220F-513	SYNPCC7002_RS03205
TU220F-2505	SYNPCC7002_RS01675
TU220F-1798	SYNPCC7002_RS12975
TU220F-1356	SYNPCC7002_RS09680 // SYNPCC7002_RS09675
TU220F-401	SYNPCC7002_RS02440
TU220F-2245	SYNPCC7002_RS10585
TU220F-70	SYNPCC7002_RS14350 // SYNPCC7002_RS14345
TU220F-2112	SYNPCC7002_RS14250
TU220F-1928	SYNPCC7002_RS13890
TU220F-728	SYNPCC7002_RS04840
TU220F-1266	SYNPCC7002_RS08990
TU220F-1140	SYNPCC7002_RS08030
TU220F-891	SYNPCC7002_RS06105
TU220F-909	SYNPCC7002_RS06240
TU220F-2264	SYNPCC7002_RS09865
TU220F-2092	SYNPCC7002_RS16795 // SYNPCC7002_RS16510
TU220F-922	SYNPCC7002_RS06345
TU220F-2424	SYNPCC7002_RS04770
TU220F-897	SYNPCC7002_RS06145
TU220F-1539	SYNPCC7002_RS11035
TU220F-1406	SYNPCC7002_RS10065
TU220F-1413	SYNPCC7002_RS10120
TU220F-847	SYNPCC7002_RS05720
TU220F-1470	SYNPCC7002_RS10535
TU220F-1794	SYNPCC7002_RS12955
TU220F-2316	SYNPCC7002_RS07920
TU220F-666	SYNPCC7002_RS04365
TU220F-706	SYNPCC7002_RS04660
TU220F-1788	SYNPCC7002_RS12925
TU220F-2536	SYNPCC7002_RS00590
TU220F-1325	SYNPCC7002_RS09475
TU220F-204	SYNPCC7002_RS00885
TU220F-957	SYNPCC7002_RS06565
TU220F-1334	SYNPCC7002_RS09540
TU220F-544	SYNPCC7002_RS03450
TU220F-2156	SYNPCC7002_RS13355
TU220F-395	SYNPCC7002_RS02385
TU220F-859	SYNPCC7002_RS05845 // SYNPCC7002_RS05840
TU220F-653	SYNPCC7002_RS04270
TU220F-2238	SYNPCC7002_RS10705
TU220F-414	SYNPCC7002_RS02555 // SYNPCC7002_RS02550
TU220F-1982	SYNPCC7002_RS15250
TU220F-2475	SYNPCC7002_RS02435
TU220F-142	SYNPCC7002_RS00405 // SYNPCC7002_RS00400
TU220F-36	SYNPCC7002_RS14990 // SYNPCC7002_RS14985
TU220F-1272	SYNPCC7002_RS09030 // SYNPCC7002_RS09025
TU220F-782	SYNPCC7002_RS05305 // SYNPCC7002_RS05300 // SYNPCC7002_RS05295 // SYNPCC7002_RS05290 // SYNPCC7002_RS05285
TU220F-2395	SYNPCC7002_RS05630
TU220F-1612	SYNPCC7002_RS11630
TU220F-2530	SYNPCC7002_RS00830
TU220F-2180	SYNPCC7002_RS12590
TU220F-1205	SYNPCC7002_RS08470
TU220F-2164	SYNPCC7002_RS16220
TU220F-43	SYNPCC7002_RS15035 // SYNPCC7002_RS15030
TU220F-371	SYNPCC7002_RS02180 // SYNPCC7002_RS02175
TU220F-1428	SYNPCC7002_RS10215
TU220F-1201	SYNPCC7002_RS08450 // SYNPCC7002_RS08445 // SYNPCC7002_RS08440
TU220F-1090	SYNPCC7002_RS07605 // SYNPCC7002_RS07600 // SYNPCC7002_RS07595 // SYNPCC7002_RS07590 // SYNPCC7002_RS07585
TU220F-1028	SYNPCC7002_RS07110
TU220F-2219	SYNPCC7002_RS11430
TU220F-88	SYNPCC7002_RS00040 // SYNPCC7002_RS00035 // SYNPCC7002_RS00030
TU220F-1967	SYNPCC7002_RS14140
TU220F-1129	SYNPCC7002_RS07955
TU220F-8	SYNPCC7002_RS16265 // SYNPCC7002_RS14740
TU220F-1022	SYNPCC7002_RS07050
TU220F-1563	SYNPCC7002_RS11245
TU220F-1619	SYNPCC7002_RS11700 // SYNPCC7002_RS11695 // SYNPCC7002_RS11690
TU220F-2461	SYNPCC7002_RS03190
TU220F-172	SYNPCC7002_RS00670
TU220F-1700	SYNPCC7002_RS12275
TU220F-1268	SYNPCC7002_RS09005 // SYNPCC7002_RS09000
TU220F-1382	SYNPCC7002_RS09875 // SYNPCC7002_RS09870
TU220F-1251	SYNPCC7002_RS08855
TU220F-95	SYNPCC7002_RS00105 // SYNPCC7002_RS00100 // SYNPCC7002_RS00095
TU220F-610	SYNPCC7002_RS03965
TU220F-1853	SYNPCC7002_RS13375
TU220F-2553	SYNPCC7002_RS15210
TU220F-1494	SYNPCC7002_RS10735 // SYNPCC7002_RS10730 // SYNPCC7002_RS10725
TU220F-2515	SYNPCC7002_RS01345
TU220F-2339	SYNPCC7002_RS07100
TU220F-757	SYNPCC7002_RS05070 // SYNPCC7002_RS05065
TU220F-1681	SYNPCC7002_RS12155 // SYNPCC7002_RS12150
TU220F-1697	SYNPCC7002_RS12255
TU220F-1057	SYNPCC7002_RS07365
TU220F-2444	SYNPCC7002_RS03915
TU220F-992	SYNPCC7002_RS06835 // SYNPCC7002_RS06830 // SYNPCC7002_RS06825
TU220F-994	SYNPCC7002_RS06845
TU220F-1247	SYNPCC7002_RS08815
TU220F-288	SYNPCC7002_RS01495
TU220F-2433	SYNPCC7002_RS04380
TU220F-248	SYNPCC7002_RS01200
TU220F-1479	SYNPCC7002_RS10605
TU220F-1372	SYNPCC7002_RS16705
TU220F-122	SYNPCC7002_RS00270
TU220F-1504	SYNPCC7002_RS10800
TU220F-1257	SYNPCC7002_RS08930
TU220F-1790	SYNPCC7002_RS12935
TU220F-357	SYNPCC7002_RS02070 // SYNPCC7002_RS02065
TU220F-2066	SYNPCC7002_RS15895
TU220F-130	SYNPCC7002_RS00340
TU220F-215	SYNPCC7002_RS00955
TU220F-1948	SYNPCC7002_RS14020 // SYNPCC7002_RS14015
TU220F-2298	SYNPCC7002_RS08485
TU220F-1656	SYNPCC7002_RS11990
TU220F-1310	SYNPCC7002_RS09350 // SYNPCC7002_RS09345
TU220F-407	SYNPCC7002_RS02485 // SYNPCC7002_RS02480
TU220F-2101	SYNPCC7002_RS16905 // SYNPCC7002_RS16900
TU220F-1160	SYNPCC7002_RS08150
TU220F-100	SYNPCC7002_RS00140
TU220F-823	SYNPCC7002_RS05565
TU220F-1814	SYNPCC7002_RS13105 // SYNPCC7002_RS13100
TU220F-1145	SYNPCC7002_RS08055
TU220F-769	SYNPCC7002_RS05170
TU220F-292	SYNPCC7002_RS01530 // SYNPCC7002_RS01525
TU220F-2526	SYNPCC7002_RS00895
TU220F-2486	SYNPCC7002_RS02220
TU220F-164	SYNPCC7002_RS00595
TU220F-1843	SYNPCC7002_RS13300 // SYNPCC7002_RS13295 // SYNPCC7002_RS13290 // SYNPCC7002_RS13285 // SYNPCC7002_RS13280
TU220F-2074	SYNPCC7002_RS15980
TU220F-2223	SYNPCC7002_RS11225
TU220F-1862	SYNPCC7002_RS13430 // SYNPCC7002_RS13425 // SYNPCC7002_RS13420
TU220F-2491	SYNPCC7002_RS02185
TU220F-1134	SYNPCC7002_RS07985
TU220F-1549	SYNPCC7002_RS16470
TU220F-1453	SYNPCC7002_RS10405
TU220F-604	SYNPCC7002_RS03935
TU220F-1095	SYNPCC7002_RS07655 // SYNPCC7002_RS07650 // SYNPCC7002_RS07645
TU220F-2380	SYNPCC7002_RS06035
TU220F-1121	SYNPCC7002_RS07900
TU220F-472	SYNPCC7002_RS02910
TU220F-794	SYNPCC7002_RS05390 // SYNPCC7002_RS05385
TU220F-1044	SYNPCC7002_RS07255 // SYNPCC7002_RS07250 // SYNPCC7002_RS07245 // SYNPCC7002_RS07240 // SYNPCC7002_RS07235
TU220F-2326	SYNPCC7002_RS07660
TU220F-236	SYNPCC7002_RS01125
TU220F-1433	SYNPCC7002_RS10250
TU220F-380	SYNPCC7002_RS02280
TU220F-381	SYNPCC7002_RS02285
TU220F-209	SYNPCC7002_RS00925
TU220F-1750	SYNPCC7002_RS12665
TU220F-1596	SYNPCC7002_RS11505
TU220F-1622	SYNPCC7002_RS11735
TU220F-1763	SYNPCC7002_RS12765 // SYNPCC7002_RS12760
TU220F-456	SYNPCC7002_RS02820
TU220F-1381	SYNPCC7002_RS09855
TU220F-432	SYNPCC7002_RS02680
TU220F-78	SYNPCC7002_RS14440
TU220F-420	SYNPCC7002_RS02605 // SYNPCC7002_RS02600
TU220F-1216	SYNPCC7002_RS08560
TU220F-55	SYNPCC7002_RS15140 // SYNPCC7002_RS15135 // SYNPCC7002_RS15130
TU220F-2397	SYNPCC7002_RS05600
TU220F-2047	SYNPCC7002_RS15760
TU220F-773	SYNPCC7002_RS16420
TU220F-1665	SYNPCC7002_RS12060 // SYNPCC7002_RS12055
TU220F-2199	SYNPCC7002_RS12175
TU220F-1149	SYNPCC7002_RS08075
TU220F-275	SYNPCC7002_RS01410
TU220F-2279	SYNPCC7002_RS09265
TU220F-2191	SYNPCC7002_RS12390
TU220F-2210	SYNPCC7002_RS11705
TU220F-1281	SYNPCC7002_RS09125
TU220F-258	SYNPCC7002_RS01260 // SYNPCC7002_RS01255
TU220F-1632	SYNPCC7002_RS11830
TU220F-403	SYNPCC7002_RS02450
TU220F-1525	SYNPCC7002_RS10960
TU220F-158	SYNPCC7002_RS00545
TU220F-2053	SYNPCC7002_RS15825
TU220F-1927	SYNPCC7002_RS13885
TU220F-2263	SYNPCC7002_RS09950
TU220F-1355	SYNPCC7002_RS09670
TU220F-1538	SYNPCC7002_RS11030
TU220F-2407	SYNPCC7002_RS05085
TU220F-612	SYNPCC7002_RS03975
TU220F-303	SYNPCC7002_RS01610
